,Categories,Currency,Favorites Number,Id,Is Digital,Is Private,Is Supply,Number of Views,Price,Processing Days Max,Processing Days Min,Quantity,Style,Tags,Title
0,"['Jewelry', 'Bracelet', 'Plastic']",USD,3,174737275,False,False,false,99,30.00,2.0,1.0,10,"['Kawaii', 'Asian']","['Kawaii', 'asian', 'Barbie', 'pearls', 'barbie shoes', 'doll shoes', 'shoes', 'sara gallo', 'colorful', 'unique', 'trendy', 'womens', 'bracelet']",LEMON BLAZE MaryJane Doll Shoe Bracelet(c) by Sara Gallo
1,"['Jewelry', 'Bracelet', 'Plastic']",USD,59,63656734,False,False,false,761,28.80,5.0,3.0,1,,"['metal', 'leather', 'stylish', 'bangle']",Chic Leather Bracelet (White)
2,"['Jewelry', 'Bracelet', 'Plastic']",USD,182,13872273,False,False,,1243,15.00,2.0,1.0,1,,"['beaded', 'shell', 'mother of pearl', 'seed beads', 'fashion jewelry', 'valentines gift', 'gift idea', 'jewelry jewellry']",8 white and champaigne bracelets
3,"['Jewelry', 'Bracelet', 'Plastic']",GBP,10,159983253,False,False,false,73,3.00,3.0,1.0,1,['African'],"['African', 'West Africa', 'Ghana', 'Beads', 'Plastic', 'Colourful', 'Bracelet', 'Jewelry', 'Handmade', 'Stretch', 'Black', 'Accessories']",Handmade African Bracelet (Plastic Beads)
4,"['Jewelry', 'Bracelet', 'Plastic']",USD,3,87125671,False,False,false,119,15.00,,,1,['Kitsch'],"['vintage buttons', 'button bracelet', 'gift', 'colorful', 'one size', 'one of a kind', 'plastic buttons', 'stocking stuffer', 'bracelet for mom']",Vintage Button Bracelet
5,"['Jewelry', 'Bracelet', 'Plastic']",USD,2,92960823,False,False,false,68,42.00,3.0,1.0,1,['High Fashion'],"['sapphire', 'blue', 'cabachon', 'gift', 'sterling silver', 'beaded', 'beadwork', 'classy', 'elegant', 'birthday', 'prom', 'christmas', 'party']",925 Sterling Silver Sapphire Blue Cabachon Plastic Beaded 7.25&quot;-8&quot; Bracelet
6,"['Jewelry', 'Bracelet', 'Plastic']",GBP,1,37959242,False,False,false,206,14.00,,,2,,[],Butterfly earrings in fuschia pink
7,"['Jewelry', 'Bracelet', 'Plastic']",USD,5,100483662,False,False,false,162,18.00,2.0,1.0,1,"['Kitsch', 'Cottage Chic']","['old store card', 'plastic', 'hancock fabrics', 'recycle', 're purpose', 'feminine', 'floral pattern', 'teen girls', 'eco friendly', 'modern', 'autumn', 'free shipping us', 'patsycakesblue']",Recycled Credit Card Bracelet and Earrings
8,"['Jewelry', 'Bracelet', 'Plastic']",USD,397,171812832,False,False,false,128,12.00,5.0,3.0,1,,"['mushroom jewelry', 'spore prints', 'mushroom accessories', 'mushrooms', 'mushroom bracelet', 'natural jewelry', 'nature jewelry', 'organic jewelry', 'spore print jewelry', 'spore print bracelet', 'nature bracelet', 'Earth jewelry', 'Earthy jewelry']","Cuff Bracelet Spore Print, Earth Tones, Wooden Beads"
9,"['Jewelry', 'Bracelet', 'Plastic']",USD,75,113437373,False,False,false,423,15.00,,,2,,"['button bracelet', 'plastic buttons', 'fall', 'autumn', 'multicolored', 'red', 'orange', 'yellow', 'silver', 'simple', 'bbartisans', 'randomcreative', 'toggle clasp']",Button Bracelet - Fall Autumn Red Orange Yellow by randomcreative on Etsy
10,"['Jewelry', 'Bracelet', 'Plastic']",USD,219,152117596,False,False,false,606,22.50,5.0,3.0,2,"['Kitsch', 'Kawaii']","['kitsch', 'kawaii', 'charm bracelet', 'mod', 'pastel', 'teardrop', 'retro', 'bangle', 'pop art', 'gvs team', 'vmteam', '60', 'deadstock']",Vintage 60&#39;s Lucite Charm Bracelet DEADSTOCK
11,"['Jewelry', 'Bracelet', 'Plastic']",USD,37,57968824,False,False,false,868,3.45,5.0,3.0,4,,"['measuring tape', 'vinyl', 'snap', 'white', 'plastic', 'unisex', 'numbers', 'metric', 'upcycled', 'trashion', 'ruler', 'jewellery', 'tape measure']",Tape Measure Bracelet in White - Statement Jewelry created with Upcycled Measuring Tape - Vinyl Snap Bracelet - Crafty Repurposed Trashion
12,"['Jewelry', 'Bracelet', 'Plastic']",EUR,294,176204786,False,False,false,254,25.00,5.0,3.0,1,['Retro'],"['Black and white', 'rockabilly style', 'cute bracelet', 'wide bracelet', 'design bracelet', 'funny bracelet', 'handmade bracelet', 'Spanish craft', 'white spots', 'bracelet with spots']","Very striking bracelet, it is elastic with wide piece of cellulose acetate front in black and white dots"
13,"['Jewelry', 'Bracelet', 'Plastic']",USD,2,461129304,False,False,false,27,3.79,1.0,1.0,1,,"['Retro', 'gold tone', 'Beads', 'Necklace pin Brooch', 'Gold Silver Ring', 'Cameo Bracelet Pin', 'Cameo', 'Necklace', 'On Sale Sale', 'GIFT VINTAGE']",ON SALE Vintage Destash For Wear Or Parts 5X Plastic Bracelets 82516
14,"['Jewelry', 'Bracelet', 'Plastic']",USD,1,57406164,False,False,false,91,10.00,,,1,,"['Chicago White Sox', 'White Sox', 'Oakland Raiders', 'Raiders', 'brooklyn nets']",black/white teardrop bracelet
15,"['Jewelry', 'Bracelet', 'Plastic']",USD,6,85590050,False,False,false,48,3.00,,,1,,"['blue black', 'white yellow', 'mesh ribbon', 'stretch string', 'opaque round', 'plastic bead', 'young old', 'gift set', 'present']","Plastic Stretchy Bracelet Set - Blue, Black, White, and Yellow"
